priority1,priority2,type,package_name,field_name,method_name,startline,endline,label,s1,s2,s3,s4,addr,_package,_class,_method
L,B,SE_NO_SERIALVERSIONID,com.helger.as2demo.springboot.ServletConfig$MyAS2ReceiveServlet,NO_FIELD,NO_METHOD,65,74,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2demo.springboot,com.helger.as2demo.springboot.ServletConfig,com.helger.as2demo.springboot.ServletConfig$MyAS2ReceiveServlet.NO_METHOD
L,B,SE_NO_SERIALVERSIONID,com.helger.as2demo.springboot.ServletConfig$MyAS2MDNReceiveServlet,NO_FIELD,NO_METHOD,82,91,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2demo.springboot,com.helger.as2demo.springboot.ServletConfig,com.helger.as2demo.springboot.ServletConfig$MyAS2MDNReceiveServlet.NO_METHOD
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.AbstractCommandProcessor,m_aAttrs,attrs()Lcom/helger/commons/collection/attr/StringMap;,66,66,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor,com.helger.as2.cmdprocessor.AbstractCommandProcessor.attrs
M,V,EI_EXPOSE_REP,com.helger.as2.util.FileMonitor,m_aListeners,getListeners()Lcom/helger/commons/collection/impl/ICommonsList;,126,126,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.getListeners
M,V,EI_EXPOSE_REP2,com.helger.as2.util.FileMonitor,m_aListeners,setListeners(Lcom/helger/commons/collection/impl/ICommonsList;)V,118,118,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.setListeners
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,0.0,0.0,0.3209639140172895,0.383253449345534,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
L,V,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,com.helger.as2.util.FileMonitor,NO_FIELD,<init>(Ljava/io/File;I)V,62,62,0,0.0,0.0,0.3209639140172895,0.383253449345534,MC,com.helger.as2.util,com.helger.as2.util.FileMonitor,com.helger.as2.util.FileMonitor.<init>
M,V,EI_EXPOSE_REP2,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,66,66,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.setFileMonitor
M,V,EI_EXPOSE_REP,com.helger.as2.app.cert.ServerCertificateFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,89,89,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.getFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.cert.ServerCertificateFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,94,105,0,0.0,0.0,0.0,0.0,SF,com.helger.as2.app.cert,com.helger.as2.app.cert.ServerCertificateFactory,com.helger.as2.app.cert.ServerCertificateFactory.onFileMonitorEvent
M,V,MS_EXPOSE_REP,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,57,57,0,0.0,1.0,0.9892971851703646,1.0000000000000002,MS,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
M,V,EI_EXPOSE_REP2,com.helger.as2.cmd.CommandManager,m_aProcessors,setProcessors(Lcom/helger/commons/collection/impl/ICommonsList;)V,62,62,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.setProcessors
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.CommandManager,m_aProcessors,getProcessors()Lcom/helger/commons/collection/impl/ICommonsList;,69,69,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getProcessors
L,M,LI_LAZY_INIT_STATIC,com.helger.as2.cmd.CommandManager,s_aDefaultManager,getCmdManager()Lcom/helger/as2/cmd/CommandManager;,55,56,0,0.0,0.0,0.0,0.0,LI,com.helger.as2.cmd,com.helger.as2.cmd.CommandManager,com.helger.as2.cmd.CommandManager.getCmdManager
M,V,EI_EXPOSE_REP,com.helger.as2.app.session.AS2ServerXMLSession,m_aCmdManager,getCommandManager()Lcom/helger/as2/cmd/CommandManager;,106,106,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.app.session,com.helger.as2.app.session.AS2ServerXMLSession,com.helger.as2.app.session.AS2ServerXMLSession.getCommandManager
M,V,EI_EXPOSE_REP,com.helger.as2.cmd.MultiCommand,m_aCmds,getCommands()Lcom/helger/commons/collection/impl/ICommonsList;,76,76,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.cmd,com.helger.as2.cmd.MultiCommand,com.helger.as2.cmd.MultiCommand.getCommands
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,NO_FIELD,_importCert(Lcom/helger/as2lib/cert/IAliasedCertificateFactory;Ljava/lang/String;Ljava/lang/String;)Lcom/helger/as2/cmd/CommandResult;,90,90,0,0.0,0.0,0.5137319132585627,0.527210852478935,Dm,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand,com.helger.as2.cmd.cert.ImportCertInEncodedStreamCommand._importCert
L,I,DM_CONVERT_CASE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,191,191,0,0.0,0.0,0.0,0.0,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,initDynamicComponent(Lcom/helger/as2lib/session/IAS2Session;Lcom/helger/commons/collection/attr/IStringMap;)V,127,127,0,0.0,0.0,0.373343969840206,0.15320676775235506,BC,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.initDynamicComponent
L,D,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,162,162,0,0.0,0.0,0.4303240090644742,0.2816757707936256,BC,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,166,166,0,0.0,0.0,0.5616869362635813,0.5899068396927667,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.SocketCommandProcessor,NO_FIELD,processCommand()V,165,165,0,0.0,0.0,0.5574286137134511,0.5899068396927667,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.SocketCommandProcessor,com.helger.as2.cmdprocessor.SocketCommandProcessor.processCommand
M,V,EI_EXPOSE_REP,com.helger.as2.cmdprocessor.StreamCommandProcessor,m_aWriter,getWriter()Ljava/io/BufferedWriter;,99,99,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.getWriter
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,<init>()V,84,84,0,0.0,0.0,0.5145781640390572,0.5131265640308992,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.<init>
H,I,DM_DEFAULT_ENCODING,com.helger.as2.cmdprocessor.StreamCommandProcessor,NO_FIELD,<init>()V,83,83,0,0.0,0.0,0.512023738075847,0.5131265640308992,Dm,com.helger.as2.cmdprocessor,com.helger.as2.cmdprocessor.StreamCommandProcessor,com.helger.as2.cmdprocessor.StreamCommandProcessor.<init>
M,B,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,com.helger.as2.cmd.cert.ImportCertCommand,NO_FIELD,importPrivateKey(Lcom/helger/security/keystore/IKeyStoreType;Lcom/helger/as2lib/cert/IAliasedCertificateFactory;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/helger/as2/cmd/CommandResult;,147,169,0,0.0,0.0,0.44850306768613,0.30092025540475514,THROWS,com.helger.as2.cmd.cert,com.helger.as2.cmd.cert.ImportCertCommand,com.helger.as2.cmd.cert.ImportCertCommand.importPrivateKey
M,V,EI_EXPOSE_REP,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,93,93,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.getFileMonitor
M,V,EI_EXPOSE_REP2,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,68,68,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.setFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,98,109,0,0.0,0.0,0.0,0.0,SF,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory,com.helger.as2.app.partner.ServerSelfFillingXMLPartnershipFactory.onFileMonitorEvent
M,V,EI_EXPOSE_REP2,com.helger.as2.app.partner.ServerXMLPartnershipFactory,m_aFileMonitor,setFileMonitor(Lcom/helger/as2/util/FileMonitor;)V,68,68,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.setFileMonitor
M,V,EI_EXPOSE_REP,com.helger.as2.app.partner.ServerXMLPartnershipFactory,m_aFileMonitor,getFileMonitor()Lcom/helger/as2/util/FileMonitor;,93,93,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.getFileMonitor
M,D,SF_SWITCH_NO_DEFAULT,com.helger.as2.app.partner.ServerXMLPartnershipFactory,NO_FIELD,onFileMonitorEvent(Lcom/helger/as2/util/FileMonitor;Ljava/io/File;Lcom/helger/as2/util/EFileMonitorEvent;)V,98,109,0,0.0,0.0,0.0,0.0,SF,com.helger.as2.app.partner,com.helger.as2.app.partner.ServerXMLPartnershipFactory,com.helger.as2.app.partner.ServerXMLPartnershipFactory.onFileMonitorEvent
L,B,SE_NO_SERIALVERSIONID,com.helger.as2servlet.AS2ReceiveServlet,NO_FIELD,NO_METHOD,35,44,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2servlet,com.helger.as2servlet.AS2ReceiveServlet,com.helger.as2servlet.AS2ReceiveServlet.NO_METHOD
M,V,EI_EXPOSE_REP2,com.helger.as2servlet.mdn.AS2MDNReceiveXServletHandlerConstantSession,m_aSession,<init>(Lcom/helger/as2lib/session/AS2Session;)V,41,41,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2servlet.mdn,com.helger.as2servlet.mdn.AS2MDNReceiveXServletHandlerConstantSession,com.helger.as2servlet.mdn.AS2MDNReceiveXServletHandlerConstantSession.<init>
M,V,EI_EXPOSE_REP2,com.helger.as2servlet.AS2ReceiveXServletHandlerConstantSession,m_aSession,<init>(Lcom/helger/as2lib/session/AS2Session;)V,41,41,0,0.0,1.0,0.9899412353124116,1.0,EI2,com.helger.as2servlet,com.helger.as2servlet.AS2ReceiveXServletHandlerConstantSession,com.helger.as2servlet.AS2ReceiveXServletHandlerConstantSession.<init>
L,B,SE_NO_SERIALVERSIONID,com.helger.as2servlet.mdn.AS2MDNReceiveServlet,NO_FIELD,NO_METHOD,37,46,0,-1.0,-1.0,-1.0,-1.0,SnVI,com.helger.as2servlet.mdn,com.helger.as2servlet.mdn.AS2MDNReceiveServlet,com.helger.as2servlet.mdn.AS2MDNReceiveServlet.NO_METHOD
M,V,EI_EXPOSE_REP2,com.helger.as2lib.partner.mongodb.MongoDBPartnershipFactory,m_aPartnerships,<init>(Lcom/mongodb/client/MongoCollection;Lorg/slf4j/Logger;)V,66,66,0,0.0,1.0,0.9822064587430314,1.0,EI2,com.helger.as2lib.partner.mongodb,com.helger.as2lib.partner.mongodb.MongoDBPartnershipFactory,com.helger.as2lib.partner.mongodb.MongoDBPartnershipFactory.<init>
M,V,EI_EXPOSE_REP,com.helger.as2lib.util.http.AS2HttpResponseHandlerSocket,m_aSocket,getSocket()Ljava/net/Socket;,74,74,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2lib.util.http,com.helger.as2lib.util.http.AS2HttpResponseHandlerSocket,com.helger.as2lib.util.http.AS2HttpResponseHandlerSocket.getSocket
M,V,EI_EXPOSE_REP,com.helger.as2lib.crypto.ECryptoAlgorithmSign,m_aOID,getOID()Lorg/bouncycastle/asn1/ASN1ObjectIdentifier;,139,139,0,0.0,1.0,0.9899885353246648,1.0000000000000002,EI,com.helger.as2lib.crypto,com.helger.as2lib.crypto.ECryptoAlgorithmSign,com.helger.as2lib.crypto.ECryptoAlgorithmSign.getOID
M,V,EI_EXPOSE_REP2,com.helger.as2lib.util.dump.HTTPIncomingDumperStreamBased,m_aOS,<init>(Ljava/io/OutputStream;)V,63,63,0,0.0,1.0,0.9814478019791416,1.0,EI2,com.helger.as2lib.util.dump,com.helger.as2lib.util.dump.HTTPIncomingDumperStreamBased,com.helger.as2lib.util.dump.HTTPIncomingDumperStreamBased.<init>
M,V,EI_EXPOSE_REP2,com.helger.as2lib.crypto.MIC,m_aMICBytes,<init>([BLcom/helger/as2lib/crypto/ECryptoAlgorithmSign;)V,68,68,0,0.0,1.0,1.0000000000000002,1.0,EI2,com.helger.as2lib.crypto,com.helger.as2lib.crypto.MIC,com.helger.as2lib.crypto.MIC.<init>
M,V,EI_EXPOSE_REP,com.helger.as2lib.crypto.MIC,m_aMICBytes,micBytes()[B,78,78,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2lib.crypto,com.helger.as2lib.crypto.MIC,com.helger.as2lib.crypto.MIC.micBytes
M,V,EI_EXPOSE_REP2,com.helger.as2lib.util.http.AS2InputStreamProviderSocket,m_aSocket,<init>(Ljava/net/Socket;)V,66,66,0,0.0,1.0,1.0000000000000002,1.0,EI2,com.helger.as2lib.util.http,com.helger.as2lib.util.http.AS2InputStreamProviderSocket,com.helger.as2lib.util.http.AS2InputStreamProviderSocket.<init>
M,V,EI_EXPOSE_REP,com.helger.as2lib.client.AS2ClientResponse,m_aThrowable,getException()Ljava/lang/Throwable;,122,122,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.getException
M,V,EI_EXPOSE_REP2,com.helger.as2lib.client.AS2ClientResponse,m_aMDNVerificationCertificate,setMDNVerificationCertificate(Ljava/security/cert/X509Certificate;)V,210,210,0,0.0,1.0,1.0000000000000002,1.0,EI2,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.setMDNVerificationCertificate
M,V,EI_EXPOSE_REP2,com.helger.as2lib.client.AS2ClientResponse,m_aThrowable,setException(Ljava/lang/Throwable;)V,101,101,0,0.0,1.0,1.0,1.0,EI2,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.setException
M,V,EI_EXPOSE_REP,com.helger.as2lib.client.AS2ClientResponse,m_aMDNVerificationCertificate,getMDNVerificationCertificate()Ljava/security/cert/X509Certificate;,199,199,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.getMDNVerificationCertificate
M,V,EI_EXPOSE_REP2,com.helger.as2lib.client.AS2ClientResponse,m_aMDN,setMDN(Lcom/helger/as2lib/message/IMessageMDN;)V,134,134,0,0.0,1.0,1.0,1.0,EI2,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.setMDN
M,V,EI_EXPOSE_REP,com.helger.as2lib.client.AS2ClientResponse,m_aMDN,getMDN()Lcom/helger/as2lib/message/IMessageMDN;,155,155,0,0.0,1.0,1.0,1.0000000000000002,EI,com.helger.as2lib.client,com.helger.as2lib.client.AS2ClientResponse,com.helger.as2lib.client.AS2ClientResponse.getMDN
M,V,EI_EXPOSE_REP2,com.helger.as2lib.exception.AS2Exception,m_aSrcMsg,setSourceMsg(Lcom/helger/as2lib/message/IMessage;)Lcom/helger/as2lib/exception/AS2Exception;,88,88,0,0.0,1.0,1.0,1.0,EI2,com.helger.as2lib.exception,com.helger.as2lib.exception.AS2Exception,com.helger.as2lib.exception.AS2Exception.setSourceMsg
M,V,EI_EXPOSE_REP,com.helger.as2lib.exception.AS2Exception,m_aSrcMsg,getSourceMsg()Lcom/helger/as2lib/message/IMessage;,82,82,0,0.0,1.0,1.0000000000000002,1.0000000000000002,EI,com.helger.as2lib.exception,com.helger.as2lib.exception.AS2Exception,com.helger.as2lib.exception.AS2Exception.getSourceMsg
